Term,RawFrequency,RelativeFrequency,ZScore,ZScoreRatio
þæt,333,19219.67,26.751009,-161.05067
ond,311,17949.902,24.967344,-150.31238
wæs,249,14371.465,19.940655,-120.049904
þa,189,10908.461,15.076117,-90.76363
ic,181,10446.728,14.427512,-86.8588
ne,180,10389.011,14.3464365,-86.3707
se,175,10100.427,13.941058,-83.930176
ða,134,7734.041,10.616957,-63.917892
swa,126,7272.307,9.968351,-60.013054
þe,126,7272.307,9.968351,-60.013054
þær,93,5367.656,7.2928553,-43.905605
ðe,75,4328.7544,5.8334937,-35.119728
mid,72,4155.604,5.5902667,-33.655415
æfter,71,4097.8877,5.509191,-33.16731
ofer,70,4040.171,5.4281154,-32.679203
ær,64,3693.8706,4.9416623,-29.750582
æt,61,3520.7205,4.6984353,-28.286268
ac,60,3463.0037,4.6173596,-27.798162
hie,59,3405.2869,4.536284,-27.310059
wið,59,3405.2869,4.536284,-27.310059
þonne,58,3347.57,4.4552083,-26.821953
þone,53,3058.9866,4.04983,-24.38143
þæs,49,2828.1196,3.7255275,-22.429014
nu,46,2654.9695,3.4823008,-20.9647
hine,44,2539.536,3.3201494,-19.988491
þu,44,2539.536,3.3201494,-19.988491
fela,40,2308.669,2.9958467,-18.036074
wearð,40,2308.669,2.9958467,-18.036074
wolde,40,2308.669,2.9958467,-18.036074
geata,39,2250.9524,2.9147713,-17.54797
eft,37,2135.519,2.75262,-16.57176
mæg,37,2135.519,2.75262,-16.57176
syððan,37,2135.519,2.75262,-16.57176
hæfde,36,2077.802,2.6715443,-16.083656
bearn,33,1904.652,2.4283173,-14.619342
sceal,33,1904.652,2.4283173,-14.619342
sunu,32,1846.9353,2.3472416,-14.131237
god,31,1789.2185,2.266166,-13.643133
þæm,31,1789.2185,2.266166,-13.643133
beowulf,30,1731.5018,2.1850903,-13.155028
hit,30,1731.5018,2.1850903,-13.155028
hyne,30,1731.5018,2.1850903,-13.155028
ðær,30,1731.5018,2.1850903,-13.155028
ðam,29,1673.785,2.1040146,-12.6669235
helm,28,1616.0684,2.022939,-12.178819
næs,28,1616.0684,2.022939,-12.178819
oft,27,1558.3516,1.9418634,-11.690715
hyrde,25,1442.9182,1.7797122,-10.714506
min,25,1442.9182,1.7797122,-10.714506
þeah,25,1442.9182,1.7797122,-10.714506
leode,24,1385.2014,1.6986365,-10.226402
swylce,24,1385.2014,1.6986365,-10.226402
þam,24,1385.2014,1.6986365,-10.226402
gif,23,1327.4847,1.6175609,-9.738297
heold,23,1327.4847,1.6175609,-9.738297
meahte,23,1327.4847,1.6175609,-9.738297
scyldinga,23,1327.4847,1.6175609,-9.738297
bið,22,1269.768,1.5364853,-9.250194
hroðgar,22,1269.768,1.5364853,-9.250194
manna,22,1269.768,1.5364853,-9.250194
sweord,22,1269.768,1.5364853,-9.250194
þara,22,1269.768,1.5364853,-9.250194
cyning,21,1212.0513,1.4554096,-8.762089
eal,21,1212.0513,1.4554096,-8.762089
eorla,21,1212.0513,1.4554096,-8.762089
gewat,21,1212.0513,1.4554096,-8.762089
leodum,21,1212.0513,1.4554096,-8.762089
sið,21,1212.0513,1.4554096,-8.762089
þeoden,21,1212.0513,1.4554096,-8.762089
forð,20,1154.3345,1.374334,-8.273984
ðæs,20,1154.3345,1.374334,-8.273984
ge,19,1096.6178,1.2932583,-7.785879
gumena,19,1096.6178,1.2932583,-7.785879
oððe,19,1096.6178,1.2932583,-7.785879
scolde,19,1096.6178,1.2932583,-7.785879
sum,19,1096.6178,1.2932583,-7.785879
wide,19,1096.6178,1.2932583,-7.785879
ymb,19,1096.6178,1.2932583,-7.785879
ðu,19,1096.6178,1.2932583,-7.785879
grendel,18,1038.901,1.2121828,-7.2977753
heo,18,1038.901,1.2121828,-7.2977753
hord,18,1038.901,1.2121828,-7.2977753
secg,18,1038.901,1.2121828,-7.2977753
wordum,18,1038.901,1.2121828,-7.2977753
wære,18,1038.901,1.2121828,-7.2977753
wæron,18,1038.901,1.2121828,-7.2977753
bær,17,981.1843,1.1311071,-6.809671
com,17,981.1843,1.1311071,-6.809671
eall,17,981.1843,1.1311071,-6.809671
fæst,17,981.1843,1.1311071,-6.809671
heard,17,981.1843,1.1311071,-6.809671
sona,17,981.1843,1.1311071,-6.809671
ænig,17,981.1843,1.1311071,-6.809671
þurh,17,981.1843,1.1311071,-6.809671
cwom,16,923.46765,1.0500314,-6.321566
frean,16,923.46765,1.0500314,-6.321566
fæhðe,16,923.46765,1.0500314,-6.321566
grendles,16,923.46765,1.0500314,-6.321566
healfdenes,16,923.46765,1.0500314,-6.321566
maþelode,16,923.46765,1.0500314,-6.321566
mec,16,923.46765,1.0500314,-6.321566
eald,15,865.7509,0.9689558,-5.8334618
ealle,15,865.7509,0.9689558,-5.8334618
feorh,15,865.7509,0.9689558,-5.8334618
fæder,15,865.7509,0.9689558,-5.8334618
hwilum,15,865.7509,0.9689558,-5.8334618
hwæt,15,865.7509,0.9689558,-5.8334618
mihte,15,865.7509,0.9689558,-5.8334618
moste,15,865.7509,0.9689558,-5.8334618
sio,15,865.7509,0.9689558,-5.8334618
stod,15,865.7509,0.9689558,-5.8334618
ðonne,15,865.7509,0.9689558,-5.8334618
eorl,14,808.0342,0.88788015,-5.3453574
feorran,14,808.0342,0.88788015,-5.3453574
gemunde,14,808.0342,0.88788015,-5.3453574
geseah,14,808.0342,0.88788015,-5.3453574
golde,14,808.0342,0.88788015,-5.3453574
hu,14,808.0342,0.88788015,-5.3453574
inne,14,808.0342,0.88788015,-5.3453574
lange,14,808.0342,0.88788015,-5.3453574
læg,14,808.0342,0.88788015,-5.3453574
men,14,808.0342,0.88788015,-5.3453574
þenden,14,808.0342,0.88788015,-5.3453574
dryhten,13,750.3174,0.80680454,-4.857253
gefremede,13,750.3174,0.80680454,-4.857253
het,13,750.3174,0.80680454,-4.857253
innan,13,750.3174,0.80680454,-4.857253
leod,13,750.3174,0.80680454,-4.857253
leoda,13,750.3174,0.80680454,-4.857253
man,13,750.3174,0.80680454,-4.857253
mon,13,750.3174,0.80680454,-4.857253
niht,13,750.3174,0.80680454,-4.857253
rice,13,750.3174,0.80680454,-4.857253
sceolde,13,750.3174,0.80680454,-4.857253
sealde,13,750.3174,0.80680454,-4.857253
secean,13,750.3174,0.80680454,-4.857253
secgan,13,750.3174,0.80680454,-4.857253
seo,13,750.3174,0.80680454,-4.857253
ut,13,750.3174,0.80680454,-4.857253
weard,13,750.3174,0.80680454,-4.857253
wine,13,750.3174,0.80680454,-4.857253
wyrm,13,750.3174,0.80680454,-4.857253
þære,13,750.3174,0.80680454,-4.857253
aldre,12,692.6007,0.7257289,-4.3691487
ende,12,692.6007,0.7257289,-4.3691487
eorðan,12,692.6007,0.7257289,-4.3691487
fah,12,692.6007,0.7257289,-4.3691487
feond,12,692.6007,0.7257289,-4.3691487
feor,12,692.6007,0.7257289,-4.3691487
geong,12,692.6007,0.7257289,-4.3691487
gode,12,692.6007,0.7257289,-4.3691487
gold,12,692.6007,0.7257289,-4.3691487
gyt,12,692.6007,0.7257289,-4.3691487
ham,12,692.6007,0.7257289,-4.3691487
healdan,12,692.6007,0.7257289,-4.3691487
hond,12,692.6007,0.7257289,-4.3691487
hwile,12,692.6007,0.7257289,-4.3691487
hæleþa,12,692.6007,0.7257289,-4.3691487
neah,12,692.6007,0.7257289,-4.3691487
sele,12,692.6007,0.7257289,-4.3691487
siðe,12,692.6007,0.7257289,-4.3691487
sæcce,12,692.6007,0.7257289,-4.3691487
wealle,12,692.6007,0.7257289,-4.3691487
wiht,12,692.6007,0.7257289,-4.3691487
ðone,12,692.6007,0.7257289,-4.3691487
þanon,12,692.6007,0.7257289,-4.3691487
ana,11,634.884,0.6446533,-3.8810444
byrnan,11,634.884,0.6446533,-3.8810444
deað,11,634.884,0.6446533,-3.8810444
dædum,11,634.884,0.6446533,-3.8810444
fornam,11,634.884,0.6446533,-3.8810444
fram,11,634.884,0.6446533,-3.8810444
frod,11,634.884,0.6446533,-3.8810444
geaf,11,634.884,0.6446533,-3.8810444
gen,11,634.884,0.6446533,-3.8810444
higelaces,11,634.884,0.6446533,-3.8810444
hio,11,634.884,0.6446533,-3.8810444
hleo,11,634.884,0.6446533,-3.8810444
maga,11,634.884,0.6446533,-3.8810444
monig,11,634.884,0.6446533,-3.8810444
oðer,11,634.884,0.6446533,-3.8810444
oððæt,11,634.884,0.6446533,-3.8810444
selest,11,634.884,0.6446533,-3.8810444
syþðan,11,634.884,0.6446533,-3.8810444
wel,11,634.884,0.6446533,-3.8810444
wille,11,634.884,0.6446533,-3.8810444
wyrd,11,634.884,0.6446533,-3.8810444
þy,11,634.884,0.6446533,-3.8810444
cynnes,10,577.16724,0.56357765,-3.3929398
dyde,10,577.16724,0.56357765,-3.3929398
ealdre,10,577.16724,0.56357765,-3.3929398
ecg,10,577.16724,0.56357765,-3.3929398
elne,10,577.16724,0.56357765,-3.3929398
geseon,10,577.16724,0.56357765,-3.3929398
geweald,10,577.16724,0.56357765,-3.3929398
git,10,577.16724,0.56357765,-3.3929398
hafelan,10,577.16724,0.56357765,-3.3929398
hean,10,577.16724,0.56357765,-3.3929398
hilde,10,577.16724,0.56357765,-3.3929398
hroðgares,10,577.16724,0.56357765,-3.3929398
hy,10,577.16724,0.56357765,-3.3929398
hæfdon,10,577.16724,0.56357765,-3.3929398
meahton,10,577.16724,0.56357765,-3.3929398
micel,10,577.16724,0.56357765,-3.3929398
mægenes,10,577.16724,0.56357765,-3.3929398
nalles,10,577.16724,0.56357765,-3.3929398
oþþæt,10,577.16724,0.56357765,-3.3929398
searwum,10,577.16724,0.56357765,-3.3929398
siþðan,10,577.16724,0.56357765,-3.3929398
swylc,10,577.16724,0.56357765,-3.3929398
wedera,10,577.16724,0.56357765,-3.3929398
wig,10,577.16724,0.56357765,-3.3929398
wit,10,577.16724,0.56357765,-3.3929398
word,10,577.16724,0.56357765,-3.3929398
wæter,10,577.16724,0.56357765,-3.3929398
bad,9,519.4505,0.48250204,-2.9048355
beagas,9,519.4505,0.48250204,-2.9048355
beran,9,519.4505,0.48250204,-2.9048355
cwæð,9,519.4505,0.48250204,-2.9048355
dom,9,519.4505,0.48250204,-2.9048355
dæl,9,519.4505,0.48250204,-2.9048355
ecgum,9,519.4505,0.48250204,-2.9048355
eode,9,519.4505,0.48250204,-2.9048355
flet,9,519.4505,0.48250204,-2.9048355
folces,9,519.4505,0.48250204,-2.9048355
forgeaf,9,519.4505,0.48250204,-2.9048355
frecne,9,519.4505,0.48250204,-2.9048355
gearwe,9,519.4505,0.48250204,-2.9048355
gebad,9,519.4505,0.48250204,-2.9048355
geond,9,519.4505,0.48250204,-2.9048355
gesealde,9,519.4505,0.48250204,-2.9048355
goda,9,519.4505,0.48250204,-2.9048355
guðe,9,519.4505,0.48250204,-2.9048355
hafað,9,519.4505,0.48250204,-2.9048355
hat,9,519.4505,0.48250204,-2.9048355
healle,9,519.4505,0.48250204,-2.9048355
heorote,9,519.4505,0.48250204,-2.9048355
hi,9,519.4505,0.48250204,-2.9048355
huru,9,519.4505,0.48250204,-2.9048355
hwearf,9,519.4505,0.48250204,-2.9048355
hyt,9,519.4505,0.48250204,-2.9048355
lafe,9,519.4505,0.48250204,-2.9048355
maðelode,9,519.4505,0.48250204,-2.9048355
minne,9,519.4505,0.48250204,-2.9048355
minum,9,519.4505,0.48250204,-2.9048355
mære,9,519.4505,0.48250204,-2.9048355
mærne,9,519.4505,0.48250204,-2.9048355
mæst,9,519.4505,0.48250204,-2.9048355
niða,9,519.4505,0.48250204,-2.9048355
oðrum,9,519.4505,0.48250204,-2.9048355
sohte,9,519.4505,0.48250204,-2.9048355
sylfes,9,519.4505,0.48250204,-2.9048355
syðþan,9,519.4505,0.48250204,-2.9048355
wen,9,519.4505,0.48250204,-2.9048355
ðy,9,519.4505,0.48250204,-2.9048355
atol,8,461.73383,0.4014264,-2.416731
cwen,8,461.73383,0.4014264,-2.416731
deniga,8,461.73383,0.4014264,-2.416731
dome,8,461.73383,0.4014264,-2.416731
dæg,8,461.73383,0.4014264,-2.416731
eallum,8,461.73383,0.4014264,-2.416731
efne,8,461.73383,0.4014264,-2.416731
ellen,8,461.73383,0.4014264,-2.416731
findan,8,461.73383,0.4014264,-2.416731
